config_name,split,candidate_id,expert_priority_score,expert_queue,priority_score,priority_queue,absolute_error
E1_zdna_only,train,ZFR_0001,77.4,B_prioritne_preskumat,58.78,C_manualna_kuracia,18.62
E1_zdna_only,train,ZFR_0002,80.7,B_prioritne_preskumat,57.51,C_manualna_kuracia,23.19
E1_zdna_only,train,ZFR_0003,55.3,C_manualna_kuracia,71.86,B_prioritne_preskumat,16.56
E1_zdna_only,train,ZFR_0004,54.1,C_manualna_kuracia,71.93,B_prioritne_preskumat,17.83
E1_zdna_only,train,ZFR_0005,77.9,B_prioritne_preskumat,59.64,C_manualna_kuracia,18.26
E1_zdna_only,train,ZFR_0006,63.7,C_manualna_kuracia,80.43,B_prioritne_preskumat,16.73
E1_zdna_only,train,ZFR_0007,92.4,A_validovat,66.82,B_prioritne_preskumat,25.58
E1_zdna_only,train,ZFR_0008,48.8,C_manualna_kuracia,83.56,A_validovat,34.76
E1_zdna_only,train,ZFR_0009,87.4,A_validovat,65.27,B_prioritne_preskumat,22.13
E1_zdna_only,train,ZFR_0010,95.6,A_validovat,83.85,A_validovat,11.75
E1_zdna_only,train,ZFR_0011,60.1,C_manualna_kuracia,87.85,A_validovat,27.75
E1_zdna_only,train,ZFR_0012,64.4,C_manualna_kuracia,45.21,C_manualna_kuracia,19.19
E1_zdna_only,train,ZFR_0013,90.4,A_validovat,77.45,B_prioritne_preskumat,12.95
E1_zdna_only,train,ZFR_0014,58.7,C_manualna_kuracia,65.55,B_prioritne_preskumat,6.85
E1_zdna_only,train,ZFR_0015,92.3,A_validovat,80.89,B_prioritne_preskumat,11.41
E1_zdna_only,train,ZFR_0016,63.4,C_manualna_kuracia,93.03,A_validovat,29.63
E1_zdna_only,train,ZFR_0017,84.5,A_validovat,74.69,B_prioritne_preskumat,9.81
E1_zdna_only,train,ZFR_0018,100.0,A_validovat,86.65,A_validovat,13.35
E1_zdna_only,train,ZFR_0019,47.4,C_manualna_kuracia,89.06,A_validovat,41.66
E1_zdna_only,train,ZFR_0020,57.1,C_manualna_kuracia,49.82,C_manualna_kuracia,7.28
E1_zdna_only,train,ZFR_0021,71.7,B_prioritne_preskumat,59.19,C_manualna_kuracia,12.51
E1_zdna_only,train,ZFR_0022,58.9,C_manualna_kuracia,70.82,B_prioritne_preskumat,11.92
E1_zdna_only,train,ZFR_0023,73.4,B_prioritne_preskumat,57.22,C_manualna_kuracia,16.18
E1_zdna_only,train,ZFR_0024,56.1,C_manualna_kuracia,88.58,A_validovat,32.48
E1_zdna_only,train,ZFR_0025,80.9,B_prioritne_preskumat,59.54,C_manualna_kuracia,21.36
E1_zdna_only,train,ZFR_0026,73.2,B_prioritne_preskumat,58.43,C_manualna_kuracia,14.77
E1_zdna_only,train,ZFR_0027,54.7,C_manualna_kuracia,73.91,B_prioritne_preskumat,19.21
E1_zdna_only,train,ZFR_0028,54.6,C_manualna_kuracia,60.39,C_manualna_kuracia,5.79
E1_zdna_only,train,ZFR_0029,79.0,B_prioritne_preskumat,76.33,B_prioritne_preskumat,2.67
E1_zdna_only,train,ZFR_0030,65.0,B_prioritne_preskumat,72.18,B_prioritne_preskumat,7.18
E1_zdna_only,train,ZFR_0031,80.7,B_prioritne_preskumat,47.92,C_manualna_kuracia,32.78
E1_zdna_only,train,ZFR_0032,71.0,B_prioritne_preskumat,91.81,A_validovat,20.81
E1_zdna_only,train,ZFR_0033,83.3,A_validovat,84.51,A_validovat,1.21
E1_zdna_only,train,ZFR_0034,86.9,A_validovat,85.77,A_validovat,1.13
E1_zdna_only,train,ZFR_0035,39.9,D_odlozit,75.01,B_prioritne_preskumat,35.11
E1_zdna_only,train,ZFR_0036,70.5,B_prioritne_preskumat,41.41,D_odlozit,29.09
E1_zdna_only,train,ZFR_0037,92.3,A_validovat,82.34,A_validovat,9.96
E1_zdna_only,train,ZFR_0038,68.1,B_prioritne_preskumat,42.36,D_odlozit,25.74
E1_zdna_only,train,ZFR_0039,72.3,B_prioritne_preskumat,65.58,B_prioritne_preskumat,6.72
E1_zdna_only,train,ZFR_0040,36.6,D_odlozit,94.07,A_validovat,57.47
E1_zdna_only,train,ZFR_0041,96.7,A_validovat,57.95,C_manualna_kuracia,38.75
E1_zdna_only,train,ZFR_0042,81.5,B_prioritne_preskumat,59.35,C_manualna_kuracia,22.15
E1_zdna_only,train,ZFR_0043,50.2,C_manualna_kuracia,76.68,B_prioritne_preskumat,26.48
E1_zdna_only,train,ZFR_0044,65.7,B_prioritne_preskumat,56.87,C_manualna_kuracia,8.83
E1_zdna_only,train,ZFR_0045,69.4,B_prioritne_preskumat,69.65,B_prioritne_preskumat,0.25
E1_zdna_only,train,ZFR_0046,74.2,B_prioritne_preskumat,67.22,B_prioritne_preskumat,6.98
E1_zdna_only,train,ZFR_0047,86.0,A_validovat,65.03,B_prioritne_preskumat,20.97
E1_zdna_only,train,ZFR_0048,56.5,C_manualna_kuracia,82.23,A_validovat,25.73
E1_zdna_only,train,ZFR_0049,76.4,B_prioritne_preskumat,61.47,C_manualna_kuracia,14.93
E1_zdna_only,train,ZFR_0050,92.1,A_validovat,80.91,B_prioritne_preskumat,11.19
E1_zdna_only,train,ZFR_0051,50.3,C_manualna_kuracia,93.16,A_validovat,42.86
E1_zdna_only,train,ZFR_0052,58.7,C_manualna_kuracia,69.67,B_prioritne_preskumat,10.97
E1_zdna_only,train,ZFR_0053,73.3,B_prioritne_preskumat,61.55,C_manualna_kuracia,11.75
E1_zdna_only,train,ZFR_0054,72.0,B_prioritne_preskumat,72.19,B_prioritne_preskumat,0.19
E1_zdna_only,train,ZFR_0055,71.0,B_prioritne_preskumat,46.86,C_manualna_kuracia,24.14
E1_zdna_only,train,ZFR_0056,55.5,C_manualna_kuracia,95.61,A_validovat,40.11
E1_zdna_only,train,ZFR_0057,80.2,B_prioritne_preskumat,70.14,B_prioritne_preskumat,10.06
E1_zdna_only,train,ZFR_0058,71.5,B_prioritne_preskumat,70.46,B_prioritne_preskumat,1.04
E1_zdna_only,train,ZFR_0059,62.3,C_manualna_kuracia,86.32,A_validovat,24.02
E1_zdna_only,train,ZFR_0060,64.0,C_manualna_kuracia,72.09,B_prioritne_preskumat,8.09
E1_zdna_only,train,ZFR_0061,81.7,B_prioritne_preskumat,63.71,C_manualna_kuracia,17.99
E1_zdna_only,train,ZFR_0062,61.9,C_manualna_kuracia,59.67,C_manualna_kuracia,2.23
E1_zdna_only,train,ZFR_0063,93.2,A_validovat,66.37,B_prioritne_preskumat,26.83
E1_zdna_only,train,ZFR_0064,59.7,C_manualna_kuracia,78.04,B_prioritne_preskumat,18.34
E1_zdna_only,train,ZFR_0065,90.4,A_validovat,77.46,B_prioritne_preskumat,12.94
E1_zdna_only,train,ZFR_0066,76.5,B_prioritne_preskumat,62.88,C_manualna_kuracia,13.62
E1_zdna_only,train,ZFR_0067,59.8,C_manualna_kuracia,74.43,B_prioritne_preskumat,14.63
E1_zdna_only,train,ZFR_0068,75.2,B_prioritne_preskumat,55.97,C_manualna_kuracia,19.23
E1_zdna_only,train,ZFR_0069,74.4,B_prioritne_preskumat,59.04,C_manualna_kuracia,15.36
E1_zdna_only,train,ZFR_0070,56.0,C_manualna_kuracia,41.1,D_odlozit,14.9
E1_zdna_only,train,ZFR_0071,79.1,B_prioritne_preskumat,80.19,B_prioritne_preskumat,1.09
E1_zdna_only,train,ZFR_0072,60.1,C_manualna_kuracia,71.01,B_prioritne_preskumat,10.91
E1_zdna_only,train,ZFR_0073,100.0,A_validovat,74.51,B_prioritne_preskumat,25.49
E1_zdna_only,train,ZFR_0074,65.4,B_prioritne_preskumat,56.75,C_manualna_kuracia,8.65
E1_zdna_only,train,ZFR_0075,63.3,C_manualna_kuracia,83.04,A_validovat,19.74
E1_zdna_only,train,ZFR_0076,55.0,C_manualna_kuracia,39.17,D_odlozit,15.83
E1_zdna_only,train,ZFR_0077,74.5,B_prioritne_preskumat,74.99,B_prioritne_preskumat,0.49
E1_zdna_only,train,ZFR_0078,69.6,B_prioritne_preskumat,66.15,B_prioritne_preskumat,3.45
E1_zdna_only,train,ZFR_0079,73.8,B_prioritne_preskumat,42.78,D_odlozit,31.02
E1_zdna_only,train,ZFR_0080,35.4,D_odlozit,73.18,B_prioritne_preskumat,37.78
E1_zdna_only,train,ZFR_0081,72.9,B_prioritne_preskumat,42.69,D_odlozit,30.21
E1_zdna_only,train,ZFR_0082,68.5,B_prioritne_preskumat,86.54,A_validovat,18.04
E1_zdna_only,train,ZFR_0083,44.6,D_odlozit,67.82,B_prioritne_preskumat,23.22
E1_zdna_only,train,ZFR_0084,52.9,C_manualna_kuracia,58.59,C_manualna_kuracia,5.69
E1_zdna_only,train,ZFR_0085,76.1,B_prioritne_preskumat,78.96,B_prioritne_preskumat,2.86
E1_zdna_only,train,ZFR_0086,57.6,C_manualna_kuracia,42.93,D_odlozit,14.67
E1_zdna_only,train,ZFR_0087,96.0,A_validovat,59.55,C_manualna_kuracia,36.45
E1_zdna_only,train,ZFR_0088,62.4,C_manualna_kuracia,79.63,B_prioritne_preskumat,17.23
E1_zdna_only,train,ZFR_0089,90.8,A_validovat,81.39,B_prioritne_preskumat,9.41
E1_zdna_only,train,ZFR_0090,89.3,A_validovat,93.13,A_validovat,3.83
E1_zdna_only,train,ZFR_0091,56.2,C_manualna_kuracia,92.7,A_validovat,36.5
E1_zdna_only,train,ZFR_0092,78.0,B_prioritne_preskumat,74.02,B_prioritne_preskumat,3.98
E1_zdna_only,train,ZFR_0093,76.9,B_prioritne_preskumat,64.82,C_manualna_kuracia,12.08
E1_zdna_only,train,ZFR_0094,67.2,B_prioritne_preskumat,69.01,B_prioritne_preskumat,1.81
E1_zdna_only,train,ZFR_0095,92.0,A_validovat,62.08,C_manualna_kuracia,29.92
E1_zdna_only,train,ZFR_0096,45.5,C_manualna_kuracia,68.59,B_prioritne_preskumat,23.09
E1_zdna_only,train,ZFR_0097,97.8,A_validovat,61.96,C_manualna_kuracia,35.84
E1_zdna_only,train,ZFR_0098,91.4,A_validovat,84.29,A_validovat,7.11
E1_zdna_only,train,ZFR_0099,64.0,C_manualna_kuracia,66.97,B_prioritne_preskumat,2.97
E1_zdna_only,train,ZFR_0100,81.6,B_prioritne_preskumat,76.79,B_prioritne_preskumat,4.81
E1_zdna_only,train,ZFR_0101,80.1,B_prioritne_preskumat,59.15,C_manualna_kuracia,20.95
E1_zdna_only,train,ZFR_0102,69.3,B_prioritne_preskumat,80.87,B_prioritne_preskumat,11.57
E1_zdna_only,train,ZFR_0103,88.3,A_validovat,71.43,B_prioritne_preskumat,16.87
E1_zdna_only,train,ZFR_0104,42.0,D_odlozit,78.6,B_prioritne_preskumat,36.6
E1_zdna_only,train,ZFR_0105,96.3,A_validovat,72.3,B_prioritne_preskumat,24.0
E1_zdna_only,train,ZFR_0106,85.0,A_validovat,78.7,B_prioritne_preskumat,6.3
E1_zdna_only,train,ZFR_0107,60.1,C_manualna_kuracia,69.95,B_prioritne_preskumat,9.85
E1_zdna_only,train,ZFR_0108,65.9,B_prioritne_preskumat,71.91,B_prioritne_preskumat,6.01
E1_zdna_only,train,ZFR_0109,90.5,A_validovat,58.51,C_manualna_kuracia,31.99
E1_zdna_only,train,ZFR_0110,66.8,B_prioritne_preskumat,77.47,B_prioritne_preskumat,10.67
E1_zdna_only,train,ZFR_0111,75.9,B_prioritne_preskumat,44.6,D_odlozit,31.3
E1_zdna_only,train,ZFR_0112,62.8,C_manualna_kuracia,79.3,B_prioritne_preskumat,16.5
E1_zdna_only,train,ZFR_0113,90.5,A_validovat,79.32,B_prioritne_preskumat,11.18
E1_zdna_only,train,ZFR_0114,81.0,B_prioritne_preskumat,90.22,A_validovat,9.22
E1_zdna_only,train,ZFR_0115,69.6,B_prioritne_preskumat,85.17,A_validovat,15.57
E1_zdna_only,train,ZFR_0116,78.5,B_prioritne_preskumat,81.36,B_prioritne_preskumat,2.86
E1_zdna_only,train,ZFR_0117,76.7,B_prioritne_preskumat,91.42,A_validovat,14.72
E1_zdna_only,train,ZFR_0118,57.2,C_manualna_kuracia,40.29,D_odlozit,16.91
E1_zdna_only,train,ZFR_0119,81.2,B_prioritne_preskumat,51.77,C_manualna_kuracia,29.43
E1_zdna_only,train,ZFR_0120,52.2,C_manualna_kuracia,95.65,A_validovat,43.45
E1_zdna_only,train,ZFR_0121,96.3,A_validovat,67.03,B_prioritne_preskumat,29.27
E1_zdna_only,train,ZFR_0122,84.2,A_validovat,68.62,B_prioritne_preskumat,15.58
E1_zdna_only,train,ZFR_0123,38.2,D_odlozit,78.3,B_prioritne_preskumat,40.1
E1_zdna_only,train,ZFR_0124,51.6,C_manualna_kuracia,52.02,C_manualna_kuracia,0.42
E1_zdna_only,train,ZFR_0125,73.0,B_prioritne_preskumat,89.33,A_validovat,16.33
E1_zdna_only,train,ZFR_0126,71.2,B_prioritne_preskumat,65.31,B_prioritne_preskumat,5.89
E1_zdna_only,train,ZFR_0127,100.0,A_validovat,87.07,A_validovat,12.93
E1_zdna_only,train,ZFR_0128,41.9,D_odlozit,65.46,B_prioritne_preskumat,23.56
E1_zdna_only,train,ZFR_0129,80.0,B_prioritne_preskumat,57.77,C_manualna_kuracia,22.23
E1_zdna_only,train,ZFR_0130,75.9,B_prioritne_preskumat,86.88,A_validovat,10.98
E1_zdna_only,train,ZFR_0131,43.7,D_odlozit,77.43,B_prioritne_preskumat,33.73
E1_zdna_only,train,ZFR_0132,57.1,C_manualna_kuracia,79.64,B_prioritne_preskumat,22.54
E1_zdna_only,train,ZFR_0133,77.0,B_prioritne_preskumat,57.06,C_manualna_kuracia,19.94
E1_zdna_only,train,ZFR_0134,59.8,C_manualna_kuracia,73.7,B_prioritne_preskumat,13.9
E1_zdna_only,train,ZFR_0135,85.7,A_validovat,68.23,B_prioritne_preskumat,17.47
E1_zdna_only,train,ZFR_0136,45.0,C_manualna_kuracia,74.89,B_prioritne_preskumat,29.89
E1_zdna_only,train,ZFR_0137,79.8,B_prioritne_preskumat,46.78,C_manualna_kuracia,33.02
E1_zdna_only,train,ZFR_0138,84.8,A_validovat,58.62,C_manualna_kuracia,26.18
E1_zdna_only,train,ZFR_0139,46.3,C_manualna_kuracia,67.91,B_prioritne_preskumat,21.61
E1_zdna_only,train,ZFR_0140,59.5,C_manualna_kuracia,59.94,C_manualna_kuracia,0.44
E1_zdna_only,train,ZFR_0141,73.5,B_prioritne_preskumat,55.11,C_manualna_kuracia,18.39
E1_zdna_only,train,ZFR_0142,53.4,C_manualna_kuracia,44.73,D_odlozit,8.67
E1_zdna_only,train,ZFR_0143,84.8,A_validovat,73.54,B_prioritne_preskumat,11.26
E1_zdna_only,train,ZFR_0144,31.1,D_odlozit,76.48,B_prioritne_preskumat,45.38
E1_zdna_only,train,ZFR_0145,92.7,A_validovat,70.51,B_prioritne_preskumat,22.19
E1_zdna_only,train,ZFR_0146,87.2,A_validovat,90.81,A_validovat,3.61
E1_zdna_only,train,ZFR_0147,45.9,C_manualna_kuracia,86.69,A_validovat,40.79
E1_zdna_only,train,ZFR_0148,69.7,B_prioritne_preskumat,58.65,C_manualna_kuracia,11.05
E1_zdna_only,train,ZFR_0149,75.8,B_prioritne_preskumat,58.39,C_manualna_kuracia,17.41
E1_zdna_only,train,ZFR_0150,55.6,C_manualna_kuracia,52.2,C_manualna_kuracia,3.4
E1_zdna_only,train,ZFR_0151,92.4,A_validovat,70.15,B_prioritne_preskumat,22.25
E1_zdna_only,train,ZFR_0152,60.3,C_manualna_kuracia,72.41,B_prioritne_preskumat,12.11
E1_zdna_only,train,ZFR_0153,84.9,A_validovat,57.33,C_manualna_kuracia,27.57
E1_zdna_only,train,ZFR_0154,82.9,A_validovat,84.69,A_validovat,1.79
E1_zdna_only,train,ZFR_0155,59.1,C_manualna_kuracia,72.84,B_prioritne_preskumat,13.74
E1_zdna_only,train,ZFR_0156,49.5,C_manualna_kuracia,61.1,C_manualna_kuracia,11.6
E1_zdna_only,train,ZFR_0157,69.8,B_prioritne_preskumat,84.03,A_validovat,14.23
E1_zdna_only,train,ZFR_0158,63.6,C_manualna_kuracia,73.49,B_prioritne_preskumat,9.89
E1_zdna_only,train,ZFR_0159,87.2,A_validovat,65.73,B_prioritne_preskumat,21.47
E1_zdna_only,train,ZFR_0160,38.6,D_odlozit,86.75,A_validovat,48.15
E1_zdna_only,train,ZFR_0161,77.3,B_prioritne_preskumat,55.67,C_manualna_kuracia,21.63
E1_zdna_only,train,ZFR_0162,80.0,B_prioritne_preskumat,81.79,B_prioritne_preskumat,1.79
E1_zdna_only,train,ZFR_0163,54.5,C_manualna_kuracia,88.43,A_validovat,33.93
E1_zdna_only,train,ZFR_0164,69.6,B_prioritne_preskumat,61.03,C_manualna_kuracia,8.57
E1_zdna_only,train,ZFR_0165,80.9,B_prioritne_preskumat,92.46,A_validovat,11.56
E1_zdna_only,train,ZFR_0166,66.6,B_prioritne_preskumat,66.22,B_prioritne_preskumat,0.38
E1_zdna_only,train,ZFR_0167,85.3,A_validovat,52.16,C_manualna_kuracia,33.14
