tool_model,source,threshold,tp,tn,fp,fn,n_positive,n_negative,recall,specificity,fpr,fnr,precision,balanced_accuracy,youden_j,recall_ci95,specificity_ci95,balanced_accuracy_ci95,youden_j_ci95
Z-DNA Hunter model 1,published_table,,176,73,0,136,312,73,0.5641,1.0,0.0,0.4359,,0.78,0.56,0.511-0.617,1.000-1.000,0.755-0.809,0.511-0.617
Z-DNA Hunter model 2,published_table,,178,73,0,134,312,73,0.5705,1.0,0.0,0.4295,,0.79,0.57,0.514-0.623,1.000-1.000,0.757-0.811,0.514-0.623
ZDNABERT HG18 th 0.25,published_table,,274,65,8,38,312,73,0.8767,0.8904,0.1096,0.1218,,0.88,0.77,0.842-0.915,0.813-0.957,0.842-0.923,0.684-0.847
ZDNABERT HG18 ChIP-seq,published_table,,274,28,45,38,312,73,0.8767,0.3836,0.6164,0.1218,,0.63,0.26,0.842-0.915,0.270-0.500,0.573-0.693,0.145-0.386
Z-DNA Hunter model 1 size 10,published_table,,214,72,1,98,312,73,0.6849,0.9863,0.0137,0.3141,,0.84,0.67,0.634-0.737,0.956-1.000,0.806-0.865,0.612-0.730
Z-DNA Hunter model 2 size 10,published_table,,227,71,2,85,312,73,0.726,0.9726,0.0274,0.2724,,0.85,0.7,0.677-0.778,0.926-1.000,0.817-0.880,0.633-0.761
Z-DNA Hunter model 2 size 8,published_table,,256,62,11,56,312,73,0.8219,0.8493,0.1507,0.1795,,0.84,0.67,0.777-0.862,0.762-0.928,0.787-0.879,0.573-0.759
Z-DNA Hunter model 2 size 8 permissive,published_table,,274,54,19,38,312,73,0.8767,0.7397,0.2603,0.1218,,0.81,0.62,0.841-0.915,0.635-0.841,0.755-0.863,0.511-0.725
Z-DNA Hunter model 2 size 8 score 20%,published_table,,239,63,10,73,312,73,0.7671,0.863,0.137,0.234,,0.82,0.63,0.721-0.813,0.779-0.938,0.766-0.861,0.532-0.723
Z-DNA Hunter model 2 size 8 score 65%,published_table,,184,63,10,128,312,73,0.589,0.863,0.137,0.4103,,0.73,0.45,0.539-0.643,0.779-0.939,0.676-0.773,0.353-0.546
Z-DNA Hunter model 2 size 10 score 60%,published_table,,192,72,1,120,312,73,0.6164,0.9863,0.0137,0.3846,,0.8,0.6,0.559-0.665,0.953-1.000,0.769-0.828,0.538-0.656
E7 priority >= A_validovat,real_model,82.0,115,72,1,197,312,73,0.3686,0.9863,0.0137,0.6314,0.9914,0.6774,0.3549,0.316-0.424,0.951-1.000,0.646-0.707,0.292-0.413
E7 priority >= B_prioritne_preskumat,real_model,65.0,253,61,12,59,312,73,0.8109,0.8356,0.1644,0.1891,0.9547,0.8233,0.6465,0.768-0.856,0.750-0.917,0.773-0.869,0.547-0.738
E7 priority >= C_manualna_kuracia,real_model,45.0,312,1,72,0,312,73,1.0,0.0137,0.9863,0.0,0.8125,0.5068,0.0137,1.000-1.000,0.000-0.044,0.500-0.522,0.000-0.044
E7 Z-DNA Hunter + fuzzy best Shin threshold,real_model,67.5,241,68,5,71,312,73,0.7724,0.9315,0.0685,0.2276,0.9797,0.852,0.7039,0.724-0.819,0.869-0.986,0.814-0.888,0.629-0.776
